"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,19.0,0.0,0.00024396181106567383,"[[[[Sentence1]]]]: 身上裹一件工厂发的棉大衣,手插在袖筒里
[[[[Sentence2]]]]: 身上[[至]]少[[一]][[件]]衣服",2.0,0.9966062307357788,"[[[[Sentence1]]]]: 身上裹一件工厂发的棉大衣,手插在袖筒里
[[[[Sentence2]]]]: 身上少衣服","Successful"
0.0,1.0,1.0,0.9940698146820068,"[[[[Sentence1]]]]: 东、中、西部地区要加强多种形式的合作,在协调发展中逐步实现共同富裕
[[[[Sentence2]]]]: 东、中、西部地区发展存在不协调",1.0,0.9940698146820068,"[[[[Sentence1]]]]: 东、中、西部地区要加强多种形式的合作,在协调发展中逐步实现共同富裕
[[[[Sentence2]]]]: 东、中、西部地区发展存在不协调","Skipped"
1.0,1.0,2.0,0.9763974547386169,"[[[[Sentence1]]]]: 外贸经营权进一步放开
[[[[Sentence2]]]]: 外贸经营权经历了先收缩再放开的过程。",2.0,0.9763974547386169,"[[[[Sentence1]]]]: 外贸经营权进一步放开
[[[[Sentence2]]]]: 外贸经营权经历了先收缩再放开的过程。","Skipped"
1.0,13.0,1.0,0.00015735626220703125,"[[[[Sentence1]]]]: 一些地方财政收支矛盾较大
[[[[Sentence2]]]]: 地方经历了经济[[危]][[机]]",0.0,0.9997938871383667,"[[[[Sentence1]]]]: 一些地方财政收支矛盾较大
[[[[Sentence2]]]]: 地方经历了经济","Successful"
0.0,13.0,0.0,0.0006015300750732422,"[[[[Sentence1]]]]: 等他回来,我们就出去吃啊.[[
[[[[Sentence2]]]]: ]]我们在[[等]]他",2.0,0.9666876792907715,"等他回来,我们就出去吃啊.我们在他","Successful"
0.0,7.0,0.0,0.013105988502502441,"[[[[Sentence1]]]]: 我觉得你看吧,咱们从专业角度,咱们刚刚说了,物理学咱们都没有办法去判断他到底怎么排名
[[[[Sentence2]]]]: 他学习[[物]]理学",2.0,0.9997801184654236,"[[[[Sentence1]]]]: 我觉得你看吧,咱们从专业角度,咱们刚刚说了,物理学咱们都没有办法去判断他到底怎么排名
[[[[Sentence2]]]]: 他学习理学","Successful"
2.0,19.0,2.0,9.059906005859375e-05,"[[[[Sentence1]]]]: 否则,我们的高要求得不到落实,也影响了我们的低目标的实现
[[[[Sentence2]]]]: 我们的要求落实与[[否]][[无]][[所]]谓。",0.0,0.9848738312721252,"[[[[Sentence1]]]]: 否则,我们的高要求得不到落实,也影响了我们的低目标的实现
[[[[Sentence2]]]]: 我们的要求落实与谓。","Successful"
1.0,19.0,1.0,9.238719940185547e-05,"[[[[Sentence1]]]]: 因此,日本舆论曾盛传海部内阁是过渡性政权
[[[[Sentence2]]]]: 此舆论在中国传播范围[[同]][[样]]广[[泛]]",0.0,0.5478515625,"[[[[Sentence1]]]]: 因此,日本舆论曾盛传海部内阁是过渡性政权
[[[[Sentence2]]]]: 此舆论在中国传播范围广","Successful"
0.0,31.0,0.0,0.000646054744720459,"[[[[Sentence1]]]]: 阿嗲说,谢谢你们,生日还送了东西.[[
[[[[Sentence2]]]]: ]]阿[[嗲]][[收]]到生[[日]][[礼]]物",1.0,0.8093881607055664,"阿嗲说,谢谢你们,生日还送了东西.阿到生物","Successful"
1.0,1.0,0.0,0.9998839497566223,"[[[[Sentence1]]]]: 他当时每次喝酒喝大,有一次喝酒喝得太大我就把他拽到我们家,因为我知道他一定最后以吐出来为终点
[[[[Sentence2]]]]: 我去过他家",0.0,0.9998839497566223,"[[[[Sentence1]]]]: 他当时每次喝酒喝大,有一次喝酒喝得太大我就把他拽到我们家,因为我知道他一定最后以吐出来为终点
[[[[Sentence2]]]]: 我去过他家","Skipped"
